mode,offset_hz,current_window_response_db,fixed_window_response_db
1K,1799.3619092648794,-31.86215086678226,-90.50442732464207
1K,1861.592509961317,-32.259966535272376,-69.69203277553936
1K,1925.9753445374981,-32.64977550105993,-72.90056715683394
1K,1992.5848476063163,-33.03020214088157,-86.68431944021015
1K,2061.4980280880686,-33.40202512385972,-73.58797448014103
1K,2132.794558242391,-33.7673002119455,-72.01493161727468
1K,2206.556865779365,-34.1271166999899,-72.69392223177694
1K,2282.8702291562736,-34.48192633929895,-73.6521273359924
1K,2361.8228761701525,-34.83210107658413,-74.12119995186762
1K,2443.5060859601717,-35.178081350241726,-74.52043917378094
1K,2528.0142945377484,-35.52035821746575,-76.6234346850746
1K,2615.445203966379,-35.859212349863924,-87.32440012610266
1K,2705.899895317456,-36.19436558998261,-79.85329637800704
1K,2799.482945532645,-36.52593565147077,-78.03103546208015
1K,2896.3025483278957,-36.85463968611251,-86.64282714213289
1K,2996.4706392789253,-37.18151838191366,-80.1600848424013
1K,3000.0,-37.1929627760271,-82.30243133614997
1K,3100.1030252327596,-37.50667676470093,-80.61781035517753
1K,3207.3195181949204,-37.8284178513642,-91.35546155310493
1K,3318.244073847105,-38.148996132904834,-92.84189494275674
1K,3433.004934855474,-38.467715241163944,-89.27757419666243
1K,3551.7347791352004,-38.78439687424712,-92.8842550347266
1K,3674.5708732427534,-39.09990494989526,-97.84937856487582
1K,3801.6552310732204,-39.413994083738395,-86.21455837801749
1K,3933.1347780461215,-39.726232426183714,-86.87670299511231
1K,4069.1615209695888,-40.03797062790341,-92.76969495106559
1K,4209.892723779269,-40.34847012798507,-90.95085110166131
1K,4355.491089355084,-40.657648724811686,-88.7548876092403
1K,4506.124947626139,-40.96587242335331,-90.92850775913192
1K,4661.968450181188,-41.27326679717504,-92.31398967700781
1K,4823.201771609639,-41.579886441604366,-92.59206529511589
1K,4990.011317805938,-41.885774825986374,-96.79032517469727
1K,5162.589941478128,-42.190879213828,-101.47865490331313
1K,5341.1371651096515,-42.495179975057994,-99.75823694510112
1K,5525.859411632378,-42.798996851951834,-98.90476399846327
1K,5716.970243077313,-43.102323285565035,-101.54286148756773
1K,5914.69060747899,-43.40492864063257,-102.9583154024217
1K,6119.249094319117,-43.70719390277782,-106.13810423308894
1K,6330.882198804584,-44.00893447630651,-117.97153775613879
1K,6549.834595285477,-44.31019912957754,-111.54495621840658
1K,6776.359420129328,-44.611099614262166,-112.591377870954
1K,7010.718564378355,-44.91163239849438,-115.64754020768262
1K,7253.182976528305,-45.21181316273338,-121.12172645253935
